Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
1/16/1995 20:46,Japan (seeÿGreat Hanshin earthquake),34.58,135.025,22,6.9ÿ{\displaystyle M_{\mathrm {w} }},"L,F,Lq",5502,5530,6432,5297,,
1/19/1995 15:05,Colombia,5.044,-72.936,17,6.5ÿ{\displaystyle M_{\mathrm {w} }},L,7,7,7,7,,
2/3/1995 15:26,United States,41.488,-109.785,1,5.3ÿ{\displaystyle m_{b}},,0,1,1,,,
2/8/1995 18:40,Colombia,4.052,-76.589,74,6.3ÿ{\displaystyle M_{\mathrm {w} }},L,42,42,42,40,,
2/23/1995 5:19,Taiwan,24.233,121.706,43.6,6.2ÿ{\displaystyle M_{\mathrm {w} }},L,0,2,2,,,
2/23/1995 21:03,Cyprus,35.06,32.269,18,5.9ÿ{\displaystyle M_{\mathrm {w} }},,2,2,,2,,
3/4/1995 23:23,Colombia,1.282,-77.307,5,4.4ÿ{\displaystyle m_{b}},,8,8,8,8,,
3/26/1995 15:12,Ecuador,-2.133,-79.509,95.5,5.6ÿ{\displaystyle M_{\mathrm {w} }},,,,,1,,
5/13/1995 8:47,Greece,40.144,21.718,14,6.6ÿ{\displaystyle M_{\mathrm {w} }},,0,0,,26,,
5/14/1995 11:33,Indonesia,-8.462,125.039,11,6.9ÿ{\displaystyle M_{\mathrm {w} }},"T,L",0,11,11,,,
5/21/1995 6:13,Indonesia,-8.288,122.944,26.4,5.2ÿ{\displaystyle M_{\mathrm {w} }},,1,1,1,,,
5/27/1995 13:03,Russian Federation (seeÿ1995 Neftegorsk earthquake),52.604,142.823,11,7.0ÿ{\displaystyle M_{\mathrm {w} }},,1989,1989,1989,1989,,
6/15/1995 0:15,Greece,38.444,22.309,14,6.2ÿ{\displaystyle M_{\mathrm {w} }},,26,26,26,26,,
6/25/1995 6:59,Taiwan,24.62,121.679,60.3,5.9ÿ{\displaystyle M_{\mathrm {w} }},L,0,1,1,,,
7/11/1995 21:46,Burma,21.948,99.103,9.2,6.8ÿ{\displaystyle M_{\mathrm {w} }},,11,11,11,11,,
7/21/1995 22:44,China,36.436,103.166,7.4,5.6ÿ{\displaystyle M_{\mathrm {w} }},,14,14,14,14,,
7/30/1995 5:11,Chile (seeÿ1995 Antofagasta earthquake),-23.34,-70.253,46,8.0ÿ{\displaystyle M_{\mathrm {w} }},"T,L",3,3,3,3,,
9/14/1995 14:04,Mexico,16.849,-98.608,23,7.3ÿ{\displaystyle M_{\mathrm {w} }},,3,3,3,6,,
10/1/1995 15:57,Turkey,38.077,30.143,31,6.4ÿ{\displaystyle M_{\mathrm {w} }},,101,101,101,94,,
10/3/1995 1:51,Ecuador,-2.79,-77.823,24,7.0ÿ{\displaystyle M_{\mathrm {w} }},,2,2,2,2,,
10/6/1995 18:09,Indonesia,-2.007,101.45,36.6,6.7ÿ{\displaystyle M_{\mathrm {w} }},L,84,84,84,84,,
10/9/1995 15:35,Mexico (seeÿ1995 Colima?Jalisco earthquake),19.053,-104.208,26.4,8.0ÿ{\displaystyle M_{\mathrm {w} }},"T,L",49,49,58,,,
10/23/1995 22:46,China,25.947,102.22,14.7,6.2ÿ{\displaystyle M_{\mathrm {w} }},,81,81,53,46,,
11/22/1995 4:15,Saudi Arabia/Egypt (seeÿ1995 Gulf of Aqaba earthquake),28.762,34.808,14,7.2ÿ{\displaystyle M_{\mathrm {w} }},Lq,9,10,10,10,,
12/19/1995 20:56,Guatemala,15.175,-90.171,15,5.3ÿ{\displaystyle M_{\mathrm {w} }},L,0,1,1,,,
12/19/1995 23:28,Indonesia,-3.665,140.263,63,6.4ÿ{\displaystyle M_{\mathrm {w} }},,0,2,2,,,
